time,entity_id,location,timediff
2012-04-03T18:09:00Z,0,0,0
2012-04-03T18:13:00Z,1,1,0
2012-04-03T18:20:00Z,2,2,0
2012-04-03T18:23:00Z,3,3,0
2012-04-03T18:27:00Z,4,4,0
2012-04-03T18:29:00Z,5,5,0
2012-04-03T18:32:00Z,2,6,0
2012-04-03T18:32:00Z,6,7,0
2012-04-03T18:37:00Z,7,8,0
2012-04-03T18:53:00Z,8,9,0
2012-04-03T19:01:00Z,9,10,0
2012-04-03T19:12:00Z,10,2,0
2012-04-03T19:14:00Z,11,11,0
2012-04-03T19:15:00Z,12,12,0
2012-04-03T19:18:00Z,13,13,0
2012-04-03T19:26:00Z,14,14,0
2012-04-03T19:37:00Z,15,15,0
2012-04-03T19:44:00Z,16,16,0
2012-04-03T19:46:00Z,17,17,0
2012-04-03T19:52:00Z,14,18,0
2012-04-03T19:55:00Z,18,19,0
2012-04-03T20:06:00Z,1,20,0
2012-04-03T20:13:00Z,1,1,0
2012-04-03T20:22:00Z,19,21,0
2012-04-03T20:23:00Z,20,22,0
2012-04-03T20:26:00Z,8,4,0
2012-04-03T20:35:00Z,21,23,0
2012-04-03T20:36:00Z,20,24,0
2012-04-03T20:49:00Z,22,25,0
2012-04-03T20:49:00Z,12,26,0
2012-04-03T20:50:00Z,21,27,0
2012-04-03T20:50:00Z,23,28,0
2012-04-03T20:52:00Z,24,29,0
2012-04-03T20:58:00Z,21,30,0
2012-04-03T21:02:00Z,25,31,0
2012-04-03T21:12:00Z,26,32,0
2012-04-03T21:12:00Z,27,33,0
2012-04-03T21:12:00Z,28,34,0
2012-04-03T21:22:00Z,29,35,0
2012-04-03T21:37:00Z,30,36,0
2012-04-03T21:39:00Z,31,37,0
2012-04-03T21:51:00Z,3,38,0
2012-04-03T21:53:00Z,32,39,0
2012-04-03T21:54:00Z,32,40,0
2012-04-03T21:54:00Z,3,41,0
2012-04-03T21:55:00Z,33,42,0
2012-04-03T21:57:00Z,31,43,0
2012-04-03T21:59:00Z,3,44,0
2012-04-03T22:05:00Z,3,45,0
2012-04-03T22:06:00Z,34,46,0
2012-04-03T22:13:00Z,36,48,0
2012-04-03T22:13:00Z,35,47,0
2012-04-03T22:15:00Z,34,49,0
2012-04-03T22:29:00Z,37,1,0
2012-04-03T22:33:00Z,4,50,0
2012-04-03T22:40:00Z,3,51,0
2012-04-03T22:49:00Z,36,52,0
2012-04-03T22:50:00Z,34,53,0
2012-04-03T22:51:00Z,15,54,0
2012-04-03T22:52:00Z,38,55,0
2012-04-03T22:54:00Z,3,24,0
2012-04-03T22:54:00Z,39,56,0
2012-04-03T22:56:00Z,40,57,0
2012-04-03T23:06:00Z,41,58,0
2012-04-03T23:09:00Z,3,59,0
2012-04-03T23:19:00Z,42,60,0
2012-04-03T23:26:00Z,34,61,0
2012-04-03T23:26:00Z,34,46,0
2012-04-03T23:37:00Z,3,62,0
2012-04-03T23:41:00Z,43,63,0
2012-04-03T23:47:00Z,44,64,0
2012-04-03T23:59:00Z,45,65,0
2012-04-04T00:01:00Z,46,40,0
2012-04-04T00:16:00Z,47,66,0
2012-04-04T00:25:00Z,48,67,0
2012-04-04T00:30:00Z,49,68,0
2012-04-04T00:30:00Z,50,69,0
2012-04-04T00:37:00Z,50,70,0
2012-04-04T00:41:00Z,51,71,0
2012-04-04T00:49:00Z,52,72,0
2012-04-04T00:49:00Z,53,73,0
2012-04-04T00:50:00Z,54,74,0
2012-04-04T00:50:00Z,53,73,0
2012-04-04T00:50:00Z,55,75,0
2012-04-04T00:51:00Z,56,76,0
2012-04-04T00:54:00Z,50,77,0
2012-04-04T00:55:00Z,57,78,0
2012-04-04T00:57:00Z,58,79,0
2012-04-04T00:58:00Z,59,80,0
2012-04-04T00:59:00Z,55,81,0
2012-04-04T01:05:00Z,60,82,0
2012-04-04T01:05:00Z,29,83,0
2012-04-04T01:06:00Z,58,84,0
2012-04-04T01:07:00Z,25,85,0
2012-04-04T01:16:00Z,61,86,0
2012-04-04T01:16:00Z,58,87,0
2012-04-04T01:16:00Z,26,88,0
2012-04-04T01:17:00Z,62,89,0
2012-04-04T01:24:00Z,59,90,0
2012-04-04T01:26:00Z,63,2,0
2012-04-04T01:26:00Z,26,91,0
2012-04-04T01:31:00Z,0,93,0
2012-04-04T01:31:00Z,64,92,0
2012-04-04T01:32:00Z,65,94,0
2012-04-04T01:34:00Z,66,95,0
2012-04-04T01:36:00Z,44,96,0
2012-04-04T01:41:00Z,67,97,0
2012-04-04T01:41:00Z,63,98,0
2012-04-04T01:47:00Z,7,11,0
2012-04-04T01:56:00Z,34,46,0
2012-04-04T01:58:00Z,50,99,0
2012-04-04T01:58:00Z,12,26,0
2012-04-04T01:59:00Z,68,100,0
2012-04-04T01:59:00Z,12,101,0
2012-04-04T02:03:00Z,69,52,0
2012-04-04T02:05:00Z,0,102,0
2012-04-04T02:09:00Z,70,103,0
2012-04-04T02:10:00Z,47,104,0
2012-04-04T02:13:00Z,67,105,0
2012-04-04T02:15:00Z,50,106,0
2012-04-04T02:16:00Z,21,107,0
2012-04-04T02:18:00Z,50,108,0
2012-04-04T02:25:00Z,63,109,0
2012-04-04T02:28:00Z,43,110,0
2012-04-04T02:30:00Z,50,111,0
2012-04-04T02:35:00Z,71,112,0
2012-04-04T02:36:00Z,60,113,0
2012-04-04T02:38:00Z,72,114,0
2012-04-04T02:48:00Z,73,52,0
2012-04-04T02:49:00Z,49,115,0
2012-04-04T02:50:00Z,74,116,0
2012-04-04T03:01:00Z,75,117,0
2012-04-04T03:02:00Z,76,118,0
2012-04-04T03:04:00Z,42,119,0
2012-04-04T03:05:00Z,16,120,0
2012-04-04T03:07:00Z,15,121,0
2012-04-04T03:08:00Z,25,122,0
2012-04-04T03:10:00Z,74,123,0
2012-04-04T03:12:00Z,50,124,0
2012-04-04T03:13:00Z,50,125,0
2012-04-04T03:34:00Z,16,126,0
2012-04-04T03:36:00Z,77,127,0
2012-04-04T03:38:00Z,78,128,0
2012-04-04T03:41:00Z,79,129,0
2012-04-04T03:44:00Z,80,130,0
2012-04-04T03:47:00Z,49,131,0
2012-04-04T03:59:00Z,81,132,0
2012-04-04T04:12:00Z,82,40,0
2012-04-04T04:19:00Z,47,133,0
2012-04-04T04:24:00Z,12,134,0
2012-04-04T04:36:00Z,16,16,0
2012-04-04T04:37:00Z,41,135,0
2012-04-04T04:53:00Z,14,18,0
2012-04-04T04:54:00Z,24,137,0
2012-04-04T04:54:00Z,83,136,0
2012-04-04T04:57:00Z,50,125,0
2012-04-04T04:59:00Z,20,138,0
2012-04-04T05:30:00Z,84,139,0
2012-04-04T05:36:00Z,85,140,0
2012-04-04T05:55:00Z,36,141,0
2012-04-04T06:16:00Z,36,142,0
2012-04-04T06:17:00Z,86,143,0
2012-04-04T06:26:00Z,87,144,0
2012-04-04T06:29:00Z,48,145,0
2012-04-04T06:57:00Z,88,132,0
2012-04-04T07:11:00Z,89,146,0
2012-04-04T07:32:00Z,90,147,0
2012-04-04T07:54:00Z,35,148,0
2012-04-04T08:04:00Z,81,149,0
2012-04-04T08:19:00Z,50,39,0
2012-04-04T08:20:00Z,50,125,0
2012-04-04T09:10:00Z,88,149,0
2012-04-04T09:40:00Z,88,5,0
2012-04-04T09:41:00Z,81,5,0
2012-04-04T10:04:00Z,91,150,0
2012-04-04T10:57:00Z,92,2,0
2012-04-04T12:00:00Z,93,2,0
2012-04-04T12:21:00Z,1,1,0
2012-04-04T12:37:00Z,94,151,0
2012-04-04T12:59:00Z,95,152,0
2012-04-04T13:06:00Z,96,153,0
2012-04-04T13:08:00Z,96,154,0
2012-04-04T13:09:00Z,96,155,0
2012-04-04T13:09:00Z,96,156,0
2012-04-04T13:12:00Z,63,157,0
2012-04-04T13:14:00Z,97,158,0
2012-04-04T13:22:00Z,61,159,0
2012-04-04T13:29:00Z,98,160,0
2012-04-04T13:31:00Z,8,161,0
2012-04-04T13:42:00Z,99,2,0
2012-04-04T13:48:00Z,52,162,0
2012-04-04T13:49:00Z,100,163,0
2012-04-04T13:49:00Z,52,164,0
2012-04-04T13:52:00Z,3,62,0
2012-04-04T13:59:00Z,101,165,0
2012-04-04T13:59:00Z,50,124,0
2012-04-04T14:11:00Z,50,99,0
